parent_lemma;parent_variant;parent_pos;parent_comment;child_lemma;child_variant;child_pos;child_comment
abakanka;1;2;##K: og. ##D: mieszkanka Abakanu.;abakańczyk;1;2;##K: og. ##D: mieszkaniec Abakanu.
Abchazka;1;2;##K: og. ##D: mieszkanka Abchazji, kobieta pochodzenia abchaskiego. [##W: Matka była z pochodzenia Abchazką, a zarazem siostrą bądź kuzynką paszy Meleka Ahmeda, wielkiego wezyra w latach 1650–1651.];Abchaz;1;2;##K: og. ##D: mieszkaniec Abchazji, człowiek pochodzenia abchaskiego.
abderytka;1;2;##K: książk. ##D: mieszkanka starożytnej Abdery.;abderyta;2;2;##K: książk. ##D: mieszkaniec starożytnej Abdery.
abderytka;2;2;##K: książk. ##D: kobieta tępa, ograniczona umysłowo, ciemniaczka, prostaczka. [##P: Ona ma twarz pulardy, tępa abderytka...] [##P: Już ja wiem, jakie bzdury ta abderytka ciągle wypisuje na swoim profilu.];abderyta;1;2;"##K: książk. ##D: człowiek ograniczony umysłowo, tępak, kiep. [##P: Pomimo że Abdera wydała tak znanych mędrców jak: Protagoras, Demokryt czy Anaksarchos, określenie ""abderyta"" przetrwało do współczesności jako synonim głupca i prostaka.] {##L: } ##A1: {złość, wstręt, nieużyteczność, niewiedza, błąd} - m [Takie bzdury musiał napisać jakiś abderyta.] ##A2: {złość, wstręt, nieużyteczność, niewiedza, błąd} - m [Nie widzisz, że ten Twój książę z bajki to abderyta?]"
Abisynka;1;2;##K: og. ##D: mieszkanka Abisynii, kobieta pochodzenia abisyńskiego.;Abisyńczyk;1;2;##K: książk. ##D: mieszkaniec Abisynii, człowiek pochodzenia abisyńskiego (etiopskiego)
abiturientka;1;2;##K:  ##D: . [##P: ] {##L: };abiturient;1;2;##K:  ##D: . [##P: ] {##L: }
abnegatka;1;2;##K: książk. ##D: kobieta lub dziewczyna, która coś zaniedbuje, np. celowo nie dba o czystość, zwłaszcza o własny wygląd, celowo się czymś nie interesuje, np. nie pilnuje swojego majątku, nie dba o korzyści.;abnegat;1;2;##K: książk. ##D: człowiek, który coś zaniedbuje, np. celowo nie dba o czystość, zwłaszcza o własny wygląd, celowo się czymś nie interesuje, np. nie pilnuje swojego majątku, nie dba o korzyści. [##P: Był to dziwak i abnegat, można rzec - typowy profesor.] [##P: Nie będę się codziennie golił, zostanę abnegatem.] [##P: Ten człowiek to kalkulujący na zimno fanatyk i życiowy abnegat, a więc człowiek o najbardziej niebezpiecznej mieszance cech.] [##P: Czasem myślę, że ci nasi menele są abnegatami i oni celowo nie dbają o higienę, budując wokół siebie zapachową barierę ochronną, zapewniającą nietykalność osobistą, która jednocześnie pozwala im wyrazić siebie, stosunek do świata, zaznaczyć obecność.] [##P: Nawet kompletny abnegat muzyczny zna ten zespół.] ##A1: {smutek, złość, wstręt, nieużyteczność} - m [Ze zgryzoty stał się abnegatem, przestał o siebie dbać, zupełnie się zapuścił.] ##A2: {złość, wstręt, nieużyteczność, błąd} - m [Nie chcesz być kształcony przez niedouczonego abnegata.]
abolicjonistka;1;2;##K: specj. ##D: zwolenniczka lub uczestniczka ruchu na rzecz równouprawnienia i zniesienia niewolnictwa Murzynów.;abolicjonista;2;2;##K: specj. ##D: człowiek, który jest za zniesieniem jakiegoś prawa.
abolicjonistka;2;2;##K: specj. ##D: kobieta, która opowiada się za zniesieniem jakiegoś prawa.;abolicjonista;1;2;##K: specj. ##D: zwolennik lub uczestnik ruchu na rzecz równouprawnienia i zniesienia niewolnictwa Murzynów.
abonentka;1;2;##K:  ##D: . [##P: ] {##L: };abonent;1;2;##K:  ##D: . [##P: ] {##L: }
